epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,201446,1.4008,4.32923,1.11921,0.50707,0.39385,0.40975,0.23573,1.3528,4.36444,1.10721,0.00034,0.00034,0.00034
146,202609,1.40546,4.33211,1.11774,0.5057,0.39546,0.41006,0.23591,1.35287,4.36452,1.10719,0.000334338,0.000334338,0.000334338
147,203775,1.39767,4.31492,1.11557,0.50814,0.3936,0.40962,0.23583,1.35314,4.36317,1.10703,0.00032872,0.00032872,0.00032872
148,204941,1.39991,4.31912,1.11644,0.50676,0.39443,0.40951,0.2357,1.35328,4.36549,1.10702,0.000323148,0.000323148,0.000323148
149,206101,1.39396,4.27985,1.11733,0.50887,0.39369,0.40965,0.23595,1.35274,4.36252,1.10692,0.000317621,0.000317621,0.000317621
150,207269,1.3974,4.2711,1.11905,0.50718,0.3947,0.40955,0.23592,1.35259,4.3625,1.10683,0.000312142,0.000312142,0.000312142
151,208430,1.39666,4.29902,1.11891,0.51018,0.39286,0.40954,0.23605,1.35273,4.36099,1.1069,0.000306712,0.000306712,0.000306712
152,209590,1.39965,4.30232,1.11944,0.5109,0.39286,0.40993,0.23623,1.35213,4.36052,1.10659,0.000301331,0.000301331,0.000301331
153,210751,1.39345,4.27988,1.11885,0.51135,0.39331,0.41039,0.23616,1.35224,4.35984,1.10663,0.000296001,0.000296001,0.000296001
154,211910,1.3932,4.25622,1.11314,0.5133,0.39221,0.41037,0.23603,1.35222,4.35942,1.10656,0.000290722,0.000290722,0.000290722
155,213074,1.39387,4.28801,1.12019,0.51428,0.39231,0.41006,0.2364,1.35205,4.35843,1.10653,0.000285497,0.000285497,0.000285497
156,214258,1.39614,4.28404,1.11515,0.51386,0.39408,0.40997,0.23649,1.35196,4.35896,1.10642,0.000280325,0.000280325,0.000280325
157,215419,1.39759,4.30377,1.11909,0.5186,0.3908,0.41029,0.23661,1.35204,4.35881,1.10647,0.000275208,0.000275208,0.000275208
158,216583,1.3925,4.26654,1.11729,0.51836,0.3906,0.41001,0.23635,1.35164,4.35705,1.10647,0.000270148,0.000270148,0.000270148
159,217746,1.3924,4.27883,1.11734,0.51412,0.39149,0.40981,0.23586,1.35137,4.35688,1.10635,0.000265144,0.000265144,0.000265144
160,218905,1.38821,4.24805,1.11335,0.51635,0.39086,0.41032,0.23647,1.35116,4.3584,1.1061,0.000260199,0.000260199,0.000260199
161,220066,1.38908,4.24764,1.11551,0.51471,0.39033,0.41063,0.23646,1.35126,4.35759,1.10614,0.000255313,0.000255313,0.000255313
162,221227,1.38956,4.24633,1.11436,0.51404,0.39261,0.41045,0.23646,1.3511,4.3564,1.10614,0.000250486,0.000250486,0.000250486
163,222387,1.39413,4.26278,1.11586,0.51194,0.393,0.41038,0.23649,1.35103,4.35567,1.10617,0.000245721,0.000245721,0.000245721
164,223551,1.39185,4.25365,1.11647,0.51328,0.39252,0.4103,0.23637,1.35082,4.354,1.106,0.000241018,0.000241018,0.000241018
165,224713,1.39172,4.2369,1.11379,0.51448,0.39264,0.4106,0.23657,1.35022,4.35211,1.10604,0.000236378,0.000236378,0.000236378
166,225877,1.39077,4.22959,1.1116,0.51545,0.39162,0.411,0.23698,1.35008,4.35096,1.10588,0.000231802,0.000231802,0.000231802
167,227040,1.38853,4.23333,1.11061,0.51419,0.39263,0.41118,0.23696,1.3502,4.35196,1.10592,0.000227291,0.000227291,0.000227291
168,228200,1.38494,4.22541,1.11408,0.51281,0.39372,0.41135,0.23716,1.35015,4.35199,1.10586,0.000222845,0.000222845,0.000222845
169,229337,1.38354,4.21039,1.112,0.51526,0.39328,0.4115,0.23714,1.35029,4.35111,1.10596,0.000218466,0.000218466,0.000218466
170,230492,1.38873,4.22537,1.11333,0.51171,0.39433,0.41151,0.23699,1.35019,4.3517,1.10583,0.000214155,0.000214155,0.000214155
171,231657,1.38088,4.21998,1.11157,0.51307,0.39356,0.41154,0.23699,1.35032,4.35235,1.1058,0.000209913,0.000209913,0.000209913
172,232826,1.38299,4.199,1.11133,0.51539,0.39215,0.41158,0.23695,1.35032,4.3523,1.10577,0.000205739,0.000205739,0.000205739
173,233990,1.37938,4.1958,1.11212,0.51443,0.39224,0.41163,0.23698,1.35063,4.35256,1.10586,0.000201636,0.000201636,0.000201636
174,244511,1.38362,4.20827,1.10871,0.5186,0.39133,0.41161,0.23744,1.3504,4.35268,1.10578,0.000197604,0.000197604,0.000197604
175,245615,1.38528,4.2129,1.11084,0.51641,0.39022,0.4113,0.23697,1.35063,4.35191,1.10597,0.000193644,0.000193644,0.000193644
176,246716,1.37945,4.19594,1.11088,0.51563,0.39173,0.41131,0.23697,1.3507,4.35363,1.10589,0.000189756,0.000189756,0.000189756
177,247816,1.37876,4.18314,1.11352,0.51852,0.3901,0.41156,0.23738,1.35057,4.35274,1.1059,0.000185942,0.000185942,0.000185942
178,248924,1.38014,4.19483,1.11511,0.51601,0.39195,0.41148,0.2371,1.35068,4.35409,1.10579,0.000182202,0.000182202,0.000182202
179,250024,1.38458,4.18927,1.11152,0.51341,0.39244,0.41153,0.23723,1.3505,4.35228,1.10583,0.000178538,0.000178538,0.000178538
180,251121,1.37563,4.17263,1.1122,0.51662,0.39061,0.41113,0.23711,1.35068,4.35376,1.10581,0.000174949,0.000174949,0.000174949
